"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"D2,D1";"fab-SOD123";2;" ";;;
2;"IC1";"fab-SOIC-14_3.9x8.7mm_P1.27mm";1;"ATTINY44";;;
3;"M1";"fab-EFOBM";1;"Reson.";;;
4;"M3";"fab-DX4R005HJ5_64";1;"MICRO-USB";;;
5;"C1";"C_1206_3216Metric";1;"1uF";;;
6;"JP1";"PinHeader_2x03_P1.00mm_Vertical_SMD";1;"PINHD-2X3-SMD";;;
7;"M2,M4";"PinHeader_2x01_P1.00mm_Vertical_SMD";2;"PINHD-1x02-SMD-HEADER";;;
8;"R2";"R_1206_3216Metric";1;"10K";;;
9;"R3,R6";"R_1206_3216Metric";2;"100";;;
10;"R4";"R_1206_3216Metric";1;"1K";;;
11;"R5";"R_1206_3216Metric";1;"499";;;
